Lane,Band,Lane_Label,Relative_Peak_Position,Relative_Start,Relative_End,Band_Width,Band_Label
1,1,Lane 1,0.1546666666666667,0.08823529411764706,0.1871657754010695,0.09893048128342243,
1,2,Lane 1,0.5173333333333333,0.446524064171123,0.5802139037433155,0.1336898395721925,
2,1,Lane 2,0.152,0.09893048128342247,0.1818181818181818,0.08288770053475933,
2,2,Lane 2,0.5146666666666667,0.4491978609625669,0.5775401069518716,0.12834224598930472,
3,1,Lane 3,0.1493333333333333,0.09893048128342247,0.1818181818181818,0.08288770053475933,
3,2,Lane 3,0.5226666666666666,0.46524064171123,0.5775401069518716,0.11229946524064166,
4,1,Lane 4,0.1466666666666667,0.09358288770053476,0.1898395721925134,0.09625668449197865,
4,2,Lane 4,0.5546666666666666,0.516042780748663,0.5909090909090909,0.07486631016042788,
5,1,Lane 5,0.1653333333333333,0.1042780748663102,0.2005347593582888,0.09625668449197859,
5,2,Lane 5,0.56,0.5347593582887701,0.5882352941176471,0.053475935828877,
5,3,Lane 5,0.9253333333333333,0.9010695187165776,0.9545454545454546,0.053475935828877,
6,1,Lane 6,0.168,0.1122994652406417,0.2032085561497326,0.0909090909090909,
6,2,Lane 6,0.68,0.6417112299465241,0.7192513368983957,0.07754010695187163,
7,1,Lane 7,0.1626666666666667,0.1042780748663102,0.1925133689839572,0.08823529411764701,
7,2,Lane 7,0.5413333333333333,0.5026737967914439,0.5802139037433155,0.07754010695187163,
7,3,Lane 7,0.6746666666666666,0.6390374331550802,0.7112299465240641,0.07219251336898391,
8,1,Lane 8,0.1653333333333333,0.09893048128342247,0.1951871657754011,0.09625668449197863,
8,2,Lane 8,0.536,0.481283422459893,0.5828877005347594,0.10160427807486638,
