site_i_enzyme,site_ii_enzyme,site_iii_enzyme,site_i_ovhg,site_ii_ovhg,site_iii_ovhg,pGEX-4T-1_compatible,pMAL-c5X_compatible,pET-21a(+)_compatible,pET-28a(+)_compatible,pET-28a(+)_start_codon_compatible,pCold_I_compatible,pUC18_compatible,pQE-3_compatible
AatII,AflII,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,AflII,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,AflII,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,AflII,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,AflII,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,AgeI,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,AgeI,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,AgeI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,AgeI,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,AgeI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,AscI,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,AscI,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,AscI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,AscI,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,AscI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,AvrII,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,AvrII,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,AvrII,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,AvrII,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,AvrII,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,BglII,BseRI,4,-4,2,False,False,False,False,False,True,False,False
AatII,BglII,BspMI,4,-4,-4,False,False,False,False,False,True,False,False
AatII,BglII,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,BsiWI,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,BsiWI,BseRI,4,-4,2,False,False,True,True,True,True,False,False
AatII,BsiWI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,BsiWI,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,BsiWI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,BspEI,BseRI,4,-4,2,False,False,False,False,False,True,False,False
AatII,BspEI,BspMI,4,-4,-4,False,False,False,False,False,True,False,False
AatII,BspEI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,BsrGI,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,BsrGI,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,BsrGI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,BsrGI,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,BsrGI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,EcoRI,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,EcoRI,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,EcoRI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,EcoRI,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,EcoRI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,HindIII,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,HindIII,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,HindIII,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,HindIII,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,HindIII,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,NcoI,BsaI,4,-4,-4,False,False,False,False,True,False,False,False
AatII,NcoI,BseRI,4,-4,2,False,True,True,False,True,True,False,False
AatII,NcoI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,NcoI,BspMI,4,-4,-4,False,False,True,False,True,True,False,False
AatII,NcoI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,NheI,BsaI,4,-4,-4,False,False,False,False,True,False,False,False
AatII,NheI,BseRI,4,-4,2,False,True,True,False,True,False,False,False
AatII,NheI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,NheI,BspMI,4,-4,-4,False,False,True,False,True,False,False,False
AatII,NotI,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,NotI,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,NotI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,NotI,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,NotI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,PacI,BsaI,4,2,-4,False,False,False,True,True,False,False,False
AatII,PacI,BseRI,4,2,2,False,True,True,True,True,True,False,False
AatII,PacI,BsmI,4,2,2,False,False,True,False,False,False,False,False
AatII,PacI,BspMI,4,2,-4,False,False,True,True,True,True,False,False
AatII,PacI,SapI,4,2,-3,False,False,False,False,False,True,False,False
AatII,PciI,BseRI,4,-4,2,False,False,False,False,False,True,False,False
AatII,PciI,BspMI,4,-4,-4,False,False,False,False,False,True,False,False
AatII,PciI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,SacII,BsaI,4,2,-4,False,False,False,True,True,False,False,False
AatII,SacII,BseRI,4,2,2,False,True,True,True,True,True,False,False
AatII,SacII,BsmI,4,2,2,False,False,True,False,False,False,False,False
AatII,SacII,BspMI,4,2,-4,False,False,True,True,True,True,False,False
AatII,SacII,SapI,4,2,-3,False,False,False,False,False,True,False,False
AatII,SalI,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,SalI,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,SalI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,SalI,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,SalI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,SpeI,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,SpeI,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,SpeI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,SpeI,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,SpeI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,XbaI,BseRI,4,-4,2,False,True,False,False,False,True,False,False
AatII,XbaI,BspMI,4,-4,-4,False,False,False,False,False,True,False,False
AatII,XbaI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AatII,XhoI,BsaI,4,-4,-4,False,False,False,True,True,False,False,False
AatII,XhoI,BseRI,4,-4,2,False,True,True,True,True,True,False,False
AatII,XhoI,BsmI,4,-4,2,False,False,True,False,False,False,False,False
AatII,XhoI,BspMI,4,-4,-4,False,False,True,True,True,True,False,False
AatII,XhoI,SapI,4,-4,-3,False,False,False,False,False,True,False,False
AflII,AflII,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,AflII,BsaI,-4,-4,-4,False,False,False,True,True,False,False,False
AflII,AflII,BseRI,-4,-4,2,True,True,True,True,True,True,True,False
AflII,AflII,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
AflII,AflII,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
AflII,AflII,BspMI,-4,-4,-4,False,False,True,True,True,True,True,True
AflII,AflII,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
AflII,AgeI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,AgeI,BsaI,-4,-4,-4,False,False,False,True,True,False,False,False
AflII,AgeI,BseRI,-4,-4,2,True,True,True,True,True,True,True,False
AflII,AgeI,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
AflII,AgeI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
AflII,AgeI,BspMI,-4,-4,-4,False,False,True,True,True,True,True,True
AflII,AgeI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
AflII,AscI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,AscI,BsaI,-4,-4,-4,False,False,False,True,True,False,False,False
AflII,AscI,BseRI,-4,-4,2,True,True,True,True,True,True,True,False
AflII,AscI,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
AflII,AscI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
AflII,AscI,BspMI,-4,-4,-4,False,False,True,True,True,True,True,True
AflII,AscI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
AflII,AvrII,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,AvrII,BsaI,-4,-4,-4,False,False,False,True,True,False,False,False
AflII,AvrII,BseRI,-4,-4,2,True,True,True,True,True,True,True,False
AflII,AvrII,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
AflII,AvrII,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
AflII,AvrII,BspMI,-4,-4,-4,False,False,True,True,True,True,True,True
AflII,AvrII,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
AflII,BclI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,BclI,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
AflII,BclI,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
AflII,BclI,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
AflII,BclI,BspMI,-4,-4,-4,False,False,False,False,False,False,True,True
AflII,BglII,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,BglII,BseRI,-4,-4,2,True,False,False,False,False,True,True,False
AflII,BglII,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
AflII,BglII,BsmI,-4,-4,2,True,False,False,False,False,False,True,False
AflII,BglII,BspMI,-4,-4,-4,False,False,False,False,False,True,True,True
AflII,BglII,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
AflII,BsiWI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,BsiWI,BsaI,-4,-4,-4,False,False,False,True,True,False,False,False
AflII,BsiWI,BseRI,-4,-4,2,True,False,True,True,True,True,True,False
AflII,BsiWI,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
AflII,BsiWI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
AflII,BsiWI,BspMI,-4,-4,-4,False,False,True,True,True,True,True,True
AflII,BsiWI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
AflII,BspEI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,BspEI,BseRI,-4,-4,2,True,False,False,False,False,True,True,False
AflII,BspEI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
AflII,BspEI,BsmI,-4,-4,2,True,False,False,False,False,False,True,False
AflII,BspEI,BspMI,-4,-4,-4,False,False,False,False,False,True,True,False
AflII,BspEI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
AflII,BsrGI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,BsrGI,BsaI,-4,-4,-4,False,False,False,True,True,False,False,False
AflII,BsrGI,BseRI,-4,-4,2,True,True,True,True,True,True,True,False
AflII,BsrGI,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
AflII,BsrGI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
AflII,BsrGI,BspMI,-4,-4,-4,False,False,True,True,True,True,True,True
AflII,BsrGI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
AflII,BssHII,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,BssHII,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
AflII,BssHII,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
AflII,BssHII,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
AflII,BssHII,BspMI,-4,-4,-4,False,False,False,False,False,False,True,True
AflII,EcoRI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
AflII,EcoRI,BsaI,-4,-4,-4,False,False,False,True,True,False,False,False
AflII,EcoRI,BseRI,-4,-4,2,True,True,True,True,True,True,True,False
AflII,EcoRI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
AflII,EcoRI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
AflII,EcoRI,BspMI,-4,-4,-4,False,False,True,True,True,True,True,False
AflII,EcoRI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
