Sequence_Length,Probability
4,3.8
5,4.8
6,5.6000000000000005
7,7.199999999999999
8,7.3
9,6.5
10,10.5
11,8.9
12,10.0
13,11.799999999999999
14,13.200000000000001
15,14.2
16,15.5
17,13.8
18,15.6
19,18.099999999999998
20,18.099999999999998
21,19.6
22,19.400000000000002
23,20.5
24,20.7
25,22.400000000000002
26,21.7
27,24.8
28,26.900000000000002
29,25.5
30,25.3
31,27.900000000000002
32,26.6
33,25.7
34,28.299999999999997
35,28.9
36,32.9
37,30.9
38,30.8
39,32.300000000000004
40,35.6
41,35.199999999999996
42,36.5
43,36.4
44,39.2
45,33.0
46,37.6
47,35.8
48,39.0
49,40.2
50,38.5
