Sequence_Length,Probability
4,30.599999999999998
5,37.0
6,39.800000000000004
7,49.5
8,49.1
9,55.800000000000004
10,60.699999999999996
11,63.6
12,66.10000000000001
13,69.1
14,69.19999999999999
15,74.4
16,77.2
17,79.9
18,77.4
19,81.39999999999999
20,85.39999999999999
21,85.0
22,84.8
23,89.1
24,89.5
25,89.0
26,90.9
27,89.4
28,91.2
29,91.8
30,92.80000000000001
31,93.7
32,95.5
33,94.8
34,94.89999999999999
35,96.0
36,96.39999999999999
37,96.7
38,96.1
39,97.3
40,97.8
41,97.5
42,97.8
43,97.8
44,98.8
45,97.8
46,97.89999999999999
47,99.1
48,98.7
49,98.9
50,99.2
