,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
EarI,False,False,False,False,False,False,False,False
Bst4CI,False,False,False,False,False,False,False,False
HpyF10VI,False,False,False,False,False,False,False,False
CaiI,False,False,False,False,False,False,False,False
Eam1105I,False,False,False,True,True,False,False,False
PkrI,False,False,False,False,False,False,False,False
TaaI,False,False,False,False,False,False,False,False
FnuDII,False,False,False,False,False,False,False,False
AspSLV7III,False,False,False,False,False,False,False,False
Hpy188III,False,False,False,False,False,False,False,False
Awo1030IV,False,False,False,False,False,False,False,False
AloI,True,False,False,False,False,False,True,True
HaeIII,False,False,False,False,False,False,False,False
Hpy8I,False,False,False,False,False,False,False,False
BlpI,True,False,False,False,False,True,True,False
BstNI,False,False,False,False,False,False,False,False
Acc65V,False,False,False,False,False,False,True,True
BbuB31I,False,False,False,False,False,False,False,False
PenI,False,False,False,False,False,False,False,False
XhoII,False,False,False,False,False,False,False,False
BpiI,False,False,False,False,False,False,True,False
BstSNI,True,True,True,True,True,True,True,True
MssI,True,True,True,True,True,True,True,True
Eco105I,True,True,True,True,True,True,True,True
RruI,True,True,True,False,False,True,True,True
MalI,False,False,False,False,False,False,False,False
PceI,True,True,True,True,True,True,True,True
EgeI,False,False,False,False,False,False,False,True
SrfI,True,True,True,True,True,True,True,True
MroXI,False,False,False,False,False,False,False,False
ApaLI,False,False,False,False,False,False,False,False
BamHI,True,True,True,True,True,True,True,True
AsiSI,True,True,True,False,False,True,True,True
Pst145I,True,True,False,False,False,False,True,True
PfrJS15III,False,False,False,False,False,False,True,True
SmlI,False,False,False,False,False,False,False,False
BfaI,False,False,False,False,False,False,False,False
BsePI,False,False,False,False,False,False,True,True
BsiSI,False,False,False,False,False,False,False,False
Bsp120I,False,False,False,False,False,False,True,True
EcoNI,False,True,False,False,False,False,True,True
Fsp4HI,False,False,False,False,False,False,False,False
PpuMI,True,False,False,False,False,True,True,True
Sau96I,False,False,False,False,False,False,False,False
TseI,False,False,False,False,False,False,False,False
AccIII,True,False,False,False,False,True,True,False
Alw44I,False,False,False,False,False,False,False,False
Asp718I,True,True,True,True,True,True,True,True
Bpu14I,False,True,True,True,True,True,True,True
AlwNI,False,False,False,False,False,False,False,False
BseLI,False,False,False,False,False,False,False,False
Aco12261II,False,False,False,False,False,False,False,False
McaTI,False,False,False,False,False,False,True,True
VchE4II,False,False,False,False,False,False,False,False
SapI,False,False,False,False,False,True,False,False
BssHII,False,False,False,False,False,False,True,True
BseCI,True,True,True,False,False,False,True,True
SciI,True,True,True,True,True,True,True,False
Sse8647I,True,True,True,True,True,True,True,True
NlaIV,False,False,False,False,False,False,False,False
BspLI,False,False,False,False,False,False,False,False
BsnI,False,False,False,False,False,False,False,False
Csp6I,False,False,False,False,False,False,False,False
FauNDI,True,True,True,False,True,True,False,False
Hin6I,False,False,False,False,False,False,False,False
AhdI,False,False,False,True,True,False,False,False
BfaSII,False,False,False,False,False,False,False,False
Ecl136II,True,False,True,True,True,True,True,True
HauII,False,False,True,True,True,True,True,False
LweI,False,False,False,False,False,False,False,False
HapII,False,False,False,False,False,False,False,False
AcvI,True,True,True,True,True,True,True,True
ClaI,True,True,True,False,False,False,True,True
EaeI,False,False,False,False,False,False,False,False
BglI,False,False,False,False,False,False,False,False
BmgI,False,False,False,False,False,False,True,False
UbaF13I,True,True,False,False,False,True,True,False
HgiJII,False,False,False,False,False,False,True,True
BsaBI,True,False,False,False,False,True,True,True
BssNI,False,False,False,False,False,False,False,False
BsuTUI,True,True,True,False,False,False,True,True
NlaIII,False,False,False,False,False,False,False,False
BsaWI,False,False,False,False,False,False,False,False
BbrPI,True,True,True,True,True,True,True,True
BstBI,False,True,True,True,True,True,True,True
SacI,True,False,True,True,True,True,True,True
DriI,False,False,False,True,True,False,False,False
RpaI,True,True,False,False,False,False,True,True
PacIII,False,False,False,False,False,False,False,False
SpoDI,False,False,False,False,False,True,False,False
SgrAI,True,True,False,False,False,True,True,True
Eco57I,False,False,False,False,False,False,False,False
MluI,False,False,False,False,False,False,True,True
NcoI,True,True,True,False,True,True,True,False
VspI,False,False,False,False,False,False,False,False
NotI,True,True,True,True,True,True,True,True
BstDEI,False,False,False,False,False,False,False,False
BstPI,False,False,False,False,False,False,True,True
PspXI,True,True,True,True,True,True,True,True
BceSIV,False,False,False,False,False,False,False,False
SdeAI,False,False,False,False,False,False,False,False
PspOMI,False,False,False,False,False,False,True,True
AarI,True,True,True,True,True,True,True,True
HphI,False,False,False,False,False,False,False,False
Kzo9I,False,False,False,False,False,False,False,False
MflI,False,False,False,False,False,False,False,False
MroI,True,False,False,False,False,True,True,False
NdeII,False,False,False,False,False,False,False,False
PauI,False,False,False,False,False,False,True,True
PscI,False,False,False,False,False,True,False,False
RsaNI,False,False,False,False,False,False,False,False
MaeIII,False,False,False,False,False,False,False,False
RsaI,False,False,False,False,False,False,False,False
AsuC2I,False,False,False,False,False,False,False,False
AfiI,False,False,False,False,False,False,False,False
CstMI,False,False,False,False,False,False,False,False
Bsp3004IV,False,False,False,False,False,False,False,False
Ble402II,False,False,False,False,False,False,False,False
EcoBLMcrX,False,False,False,False,False,False,False,False
DraIII,True,True,False,False,False,False,True,True
MwoI,False,False,False,False,False,False,False,False
Gba708II,False,True,False,False,False,False,True,True
HdeZA17I,False,False,False,False,False,False,False,False
BanI,False,False,False,False,False,False,False,False
Pdu1735I,False,False,False,False,False,False,False,False
CcrNAIII,False,False,False,False,False,False,True,True
Cbo67071IV,False,False,False,False,False,False,False,False
CfrMH16VI,False,False,False,False,False,False,False,False
PssI,False,False,False,False,False,False,False,False
AccB1I,False,False,False,False,False,False,False,False
SnaI,True,True,False,False,False,True,True,False
PlaDI,False,False,False,False,False,False,False,False
TssI,False,False,False,False,False,False,False,False
Esp3007I,False,False,False,False,False,False,False,False
CjeFIII,False,True,False,False,False,False,False,False
DrdII,False,False,False,False,False,False,True,True
Cla11845III,False,False,False,False,False,False,False,False
Sag901I,False,False,False,False,False,False,True,False
Eco4465II,False,False,False,False,False,False,False,False
CjuI,False,False,False,False,False,False,False,False
BssNAI,True,True,False,False,False,True,True,False
AcoI,False,False,False,False,False,False,False,False
ScoDS2II,False,False,False,False,False,False,False,False
SenTFIV,False,False,False,False,False,False,False,False
SmaI,True,True,True,False,False,True,True,True
XmnI,False,False,False,False,False,False,False,False
BaeGI,False,False,False,False,False,False,False,False
MkaDII,True,True,True,True,True,True,True,True
Eco57MI,False,False,False,False,False,False,False,False
Jma19592II,False,False,False,False,False,False,False,False
OspHL35III,False,False,False,False,False,False,False,False
Lmo911II,False,False,False,False,False,False,False,False
MspSC27II,False,False,False,False,False,False,True,True
Asp114pII,False,False,False,False,False,False,False,False
Bst1107I,True,True,False,False,False,True,True,False
Bme1390I,False,False,False,False,False,False,False,False
Bpu1102I,True,False,False,False,False,True,True,False
BseDI,False,False,False,False,False,False,False,False
BspT107I,False,False,False,False,False,False,False,False
PinP59III,False,False,False,False,False,False,False,False
EcoHSI,False,False,False,False,False,False,False,False
Rsp008V,False,False,False,False,False,False,True,False
Cje265V,False,False,False,False,False,False,False,False
AlfI,True,False,False,False,False,True,True,True
SseBI,True,True,True,True,True,True,True,True
AspBHI,False,False,False,False,False,False,False,False
YkrI,False,False,False,False,False,False,False,False
KflI,True,True,True,True,True,True,True,True
Eco130I,True,True,False,False,False,True,True,False
MteI,True,True,True,True,True,True,True,True
TseFI,False,False,False,False,False,False,False,False
AgsI,False,False,False,False,False,False,False,False
SchI,False,False,False,False,False,False,False,False
BsuRI,False,False,False,False,False,False,False,False
BspDI,True,True,True,False,False,False,True,True
BsrGI,True,True,True,True,True,True,True,True
BtgI,False,False,False,False,False,True,True,False
FriOI,False,False,False,False,False,False,True,True
PcaII,False,False,False,False,False,False,False,False
SthSt3II,False,False,False,False,False,False,False,False
Tth111II,False,False,False,False,False,False,False,False
SaqAI,False,False,False,False,False,False,False,False
AlwFI,False,False,False,False,False,False,False,False
PasI,True,True,True,True,True,True,True,False
UcoMSI,True,False,True,True,True,True,True,True
Bst2BI,False,False,False,False,False,False,False,False
Cfr42I,True,True,True,True,True,True,True,True
SspD5I,False,False,False,False,False,False,False,False
PspFI,False,False,False,False,False,False,False,False
BsmBI,False,False,False,False,False,False,False,False
PmeI,True,True,True,True,True,True,True,True
BstH2I,False,False,False,False,False,False,False,False
CfoI,False,False,False,False,False,False,False,False
Hsp92II,False,False,False,False,False,False,False,False
PacI,True,True,True,True,True,True,True,True
PvuI,False,False,False,False,False,False,False,False
SdaI,True,True,True,True,True,True,True,True
SgrBI,True,True,True,True,True,True,True,True
AanI,True,False,False,False,False,False,True,False
Hpy99XXII,False,False,False,False,False,False,False,False
HpyAXVI_mut2,False,False,False,False,False,False,False,False
NhaXI,False,False,False,False,False,False,False,False
ApaI,False,False,False,False,False,False,True,True
RdeGBII,False,False,False,False,False,False,False,False
