Sequence_Length,Probability
4,33.2
5,41.099999999999994
6,45.6
7,51.7
8,57.099999999999994
9,62.3
10,63.9
11,68.0
12,71.1
13,73.9
14,76.3
15,79.9
16,82.19999999999999
17,84.39999999999999
18,84.8
19,88.0
20,85.8
21,89.5
22,91.10000000000001
23,90.5
24,94.0
25,92.9
26,92.10000000000001
27,94.39999999999999
28,94.69999999999999
29,95.3
30,97.0
31,96.8
32,96.3
33,96.7
34,97.89999999999999
35,97.1
36,98.0
37,97.6
38,98.8
39,98.9
40,98.8
41,98.5
42,99.0
43,99.1
44,99.3
45,98.9
46,99.4
47,98.8
48,99.1
49,99.5
50,99.6
