Sequence_Length,Probability
4,26.200000000000003
5,30.0
6,37.9
7,41.4
8,48.199999999999996
9,48.199999999999996
10,52.900000000000006
11,55.900000000000006
12,62.0
13,61.9
14,64.9
15,69.39999999999999
16,71.3
17,73.0
18,73.0
19,76.8
20,77.0
21,79.10000000000001
22,81.10000000000001
23,82.89999999999999
24,82.39999999999999
25,86.5
26,86.4
27,88.0
28,89.1
29,88.9
30,90.2
31,90.9
32,89.9
33,92.4
34,91.3
35,92.7
36,92.5
37,93.5
38,95.7
39,93.8
40,95.3
41,95.1
42,96.39999999999999
43,96.7
44,95.0
45,96.3
46,96.3
47,97.3
48,97.8
49,99.2
50,97.7
