Sequence_Length,Probability
4,18.3
5,22.5
6,28.299999999999997
7,32.1
8,34.0
9,38.0
10,40.699999999999996
11,42.9
12,46.6
13,49.0
14,53.6
15,55.00000000000001
16,55.900000000000006
17,59.4
18,60.5
19,63.800000000000004
20,64.4
21,66.3
22,70.39999999999999
23,70.19999999999999
24,73.6
25,70.89999999999999
26,73.6
27,76.0
28,77.5
29,76.0
30,79.9
31,79.7
32,80.5
33,83.1
34,84.1
35,86.2
36,84.7
37,87.5
38,88.0
39,85.39999999999999
40,87.2
41,88.6
42,88.7
43,89.7
44,89.8
45,89.7
46,89.7
47,92.60000000000001
48,94.1
49,92.4
50,92.0
