Sequence_Length,Probability
4,31.2
5,38.9
6,41.0
7,44.2
8,49.5
9,56.10000000000001
10,57.8
11,64.4
12,66.4
13,67.80000000000001
14,73.0
15,71.8
16,73.6
17,78.8
18,80.4
19,82.89999999999999
20,83.6
21,85.5
22,84.3
23,88.1
24,87.9
25,87.9
26,90.10000000000001
27,92.10000000000001
28,93.0
29,91.0
30,93.7
31,93.7
32,94.3
33,93.60000000000001
34,96.2
35,95.3
36,95.39999999999999
37,96.8
38,95.89999999999999
39,96.1
40,97.5
41,97.0
42,97.6
43,98.1
44,98.4
45,98.2
46,98.6
47,98.5
48,98.3
49,97.2
50,99.0
