Sequence_Length,Probability
4,33.800000000000004
5,40.5
6,46.1
7,51.800000000000004
8,58.199999999999996
9,62.8
10,61.199999999999996
11,68.30000000000001
12,68.89999999999999
13,75.0
14,78.2
15,80.60000000000001
16,79.9
17,84.2
18,86.0
19,86.7
20,87.3
21,89.3
22,90.2
23,91.9
24,91.8
25,93.8
26,93.89999999999999
27,93.89999999999999
28,96.8
29,95.19999999999999
30,96.89999999999999
31,96.3
32,97.2
33,97.7
34,97.6
35,97.7
36,97.8
37,98.6
38,98.7
39,98.8
40,99.0
41,99.0
42,99.3
43,99.0
44,99.0
45,99.1
46,99.5
47,99.3
48,99.5
49,99.6
50,99.5
