Sequence_Length,Probability
4,33.800000000000004
5,40.5
6,49.1
7,52.0
8,54.50000000000001
9,60.6
10,65.10000000000001
11,68.4
12,74.6
13,71.89999999999999
14,74.2
15,77.8
16,81.0
17,83.3
18,84.8
19,86.0
20,86.9
21,88.9
22,89.8
23,90.7
24,92.10000000000001
25,92.80000000000001
26,94.1
27,93.5
28,94.69999999999999
29,95.19999999999999
30,95.7
31,96.2
32,96.39999999999999
33,97.1
34,96.7
35,97.39999999999999
36,98.0
37,97.8
38,98.0
39,98.2
40,99.0
41,98.5
42,98.4
43,98.7
44,99.1
45,98.9
46,98.9
47,99.5
48,98.9
49,99.6
50,100.0
