Sequence_Length,Probability
4,34.0
5,40.699999999999996
6,45.5
7,53.900000000000006
8,54.2
9,60.9
10,62.4
11,66.10000000000001
12,71.6
13,73.6
14,75.8
15,77.60000000000001
16,82.19999999999999
17,83.5
18,85.1
19,82.8
20,86.0
21,87.6
22,90.4
23,91.7
24,92.7
25,93.8
26,92.30000000000001
27,94.5
28,92.60000000000001
29,95.39999999999999
30,95.6
31,95.1
32,95.7
33,96.5
34,96.2
35,97.3
36,96.7
37,97.7
38,97.8
39,98.5
40,97.8
41,98.4
42,98.6
43,98.8
44,99.0
45,99.0
46,98.6
47,99.4
48,99.5
49,99.6
50,99.6
