Sequence_Length,Probability
4,38.7
5,44.3
6,52.0
7,54.300000000000004
8,61.4
9,64.60000000000001
10,71.1
11,72.89999999999999
12,76.5
13,79.60000000000001
14,81.69999999999999
15,83.7
16,84.2
17,87.3
18,87.5
19,90.60000000000001
20,92.2
21,92.5
22,91.2
23,93.4
24,94.69999999999999
25,93.89999999999999
26,96.1
27,95.8
28,94.89999999999999
29,96.3
30,96.7
31,97.6
32,98.4
33,97.89999999999999
34,98.3
35,98.5
36,98.2
37,98.5
38,99.3
39,99.3
40,99.0
41,99.5
42,99.5
43,99.7
44,99.7
45,99.2
46,99.4
47,99.6
48,99.7
49,99.7
50,99.8
