enzyme,r1.1,r2.1,r3.1,rCutSmart,heat_inac,incu_temp,ligation_efficiencies,recutting_efficiencies,star_activity,star_activity_r1.1,star_activity_r2.1,star_activity_r3.1,star_activity_rCutSmart
AatII,10,50,50,100,80,37,high,high,False,False,True,False,False
AccI,50,50,10,100,80,37,high,high,False,False,False,False,False
Acc65I,10,75,100,25,65,37,high,high,False,False,True,False,False
AciI,10,25,100,100,65,37,high,high,False,False,False,False,False
AclI,10,10,10,100,0,37,high,high,False,False,False,False,False
AcuI,50,100,50,100,65,37,intermediate,intermediate,True,False,False,False,False
AfeI,25,100,25,100,65,37,high,high,False,False,False,False,False
AflII,50,100,10,100,65,37,high,high,False,False,False,False,False
AflIII,10,50,100,50,80,37,high,high,False,False,False,False,False
AgeI,100,50,10,100,65,37,high,high,False,False,False,False,False
AhdI,25,25,10,100,65,37,low,high,False,False,False,False,False
AleI,10,10,10,100,65,37,high,high,False,False,False,False,False
AluI,25,100,50,100,80,37,intermediate,high,False,False,False,False,False
AlwI,50,50,10,100,0,37,intermediate,intermediate,True,False,False,False,False
AlwNI,10,100,50,100,80,37,high,high,False,False,False,False,False
ApaI,25,25,10,100,65,37,high,high,False,False,False,False,False
ApaLI,100,100,10,100,0,37,high,high,False,False,False,False,False
ApeKI,25,50,100,10,0,75,high,high,False,False,False,False,False
ApoI,10,100,10,100,80,37,high,high,False,False,False,False,False
AscI,10,10,10,100,80,37,high,high,False,False,False,False,False
AseI,10,50,100,10,65,37,high,high,True,False,True,False,False
AsiSI,100,100,25,100,80,37,intermediate,high,True,False,False,False,False
AvaI,10,100,25,100,80,37,high,high,False,False,False,False,False
AvaII,50,75,10,100,80,37,high,high,False,False,False,False,False
AvrII,100,50,50,100,0,37,high,high,False,False,False,False,False
BaeGI,75,75,100,25,80,37,high,high,False,False,False,False,False
BaeI,50,100,50,100,65,37,nan,nan,False,False,False,False,False
BamHI,75,100,100,100,0,37,high,high,True,True,True,False,True
BamHI,100,50,10,100,0,37,high,high,False,False,False,False,False
BanI,10,25,10,100,65,37,high,high,True,False,False,False,False
BanII,100,100,50,100,80,37,high,high,True,False,False,False,False
BbsI,100,100,25,75,65,37,high,high,False,False,False,False,False
BbsI,10,10,10,100,65,37,high,high,False,False,False,False,False
BbvCI,10,100,50,100,0,37,low,high,True,False,False,False,False
BbvI,100,100,25,100,65,37,high,high,True,False,False,False,False
BccI,100,50,10,100,65,37,intermediate,high,True,False,False,False,False
BceAI,100,100,100,100,65,37,high,high,True,True,True,False,True
BcgI,10,75,100,50,65,37,nan,nan,False,False,True,False,True
BciVI,100,25,10,100,80,37,intermediate,high,False,False,False,False,False
BclI,50,100,100,75,0,37,high,high,False,False,False,False,False
BclI,100,100,10,100,65,37,high,high,False,False,False,False,False
BcoDI,50,75,75,100,0,37,high,high,False,False,False,False,False
BfaI,10,10,10,100,80,37,intermediate,high,True,False,False,False,False
BfuAI,10,25,100,10,65,50,high,high,True,False,False,False,False
BglI,10,25,100,10,65,37,high,high,False,False,False,False,False
BglII,10,10,100,10,0,37,high,high,False,False,False,False,False
BlpI,50,100,10,100,0,37,high,intermediate,False,False,False,False,False
BmgBI,10,10,100,10,65,37,intermediate,intermediate,True,False,False,False,False
BmrI,75,100,75,100,65,37,intermediate,high,False,False,False,False,True
BmtI,50,100,10,100,65,37,high,high,False,False,False,False,False
BpmI,75,100,100,100,65,37,high,high,True,False,False,False,True
BpuEI,50,100,50,100,65,37,high,intermediate,False,True,False,True,False
Bpu10I,10,25,100,25,80,37,intermediate,intermediate,True,False,False,False,False
BsaAI,100,100,100,100,0,37,high,high,False,False,False,False,False
BsaBI,50,100,75,100,80,60,high,high,True,False,False,False,False
BsaHI,50,100,100,100,80,37,high,high,False,False,False,False,False
BsaI,100,100,100,100,80,37,high,high,False,False,False,False,False
BsaJI,50,100,100,100,80,60,high,high,False,False,False,False,False
BsaWI,10,100,50,100,80,60,high,high,False,False,False,False,False
BsaXI,50,100,10,100,0,37,nan,nan,False,True,True,False,False
BseRI,100,100,75,100,80,37,high,intermediate,False,False,False,False,False
BseYI,10,50,100,50,80,37,high,intermediate,False,False,False,False,False
BsgI,25,50,25,100,65,37,high,intermediate,False,False,False,False,False
BsiEI,25,50,10,100,0,60,high,high,False,False,False,False,False
BsiHKAI,25,100,100,100,0,65,high,high,False,False,False,False,False
BsiWI,25,50,100,25,80,55,high,high,False,False,True,False,False
BsiWI,50,100,10,100,80,37,high,high,False,False,False,False,False
BslI,50,75,100,100,0,37,intermediate,high,False,False,False,False,False
BsmAI,50,100,100,100,0,37,high,high,False,False,False,False,False
BsmBI,10,50,100,25,80,55,high,high,False,False,False,False,False
BsmFI,25,50,50,100,80,37,high,high,True,False,False,False,False
BsmI,25,100,10,100,80,65,high,high,False,False,False,False,False
BsoBI,25,100,100,100,80,37,high,high,False,False,False,False,False
BspCNI,100,75,10,100,80,37,intermediate,high,False,False,False,False,False
BspDI,25,75,50,100,80,37,high,high,False,False,False,False,False
BspEI,10,10,100,10,80,37,high,high,False,False,False,False,False
BspHI,10,50,25,100,80,37,high,high,False,False,False,False,False
Bsp1286I,25,25,25,100,65,37,high,high,True,False,False,False,False
BspMI,10,50,100,10,65,37,high,high,False,False,True,False,False
BspQI,100,100,100,100,80,50,high,high,True,True,True,False,True
BspQI,10,50,25,100,80,37,high,high,False,False,False,False,False
BsrBI,50,100,100,100,80,37,high,intermediate,False,False,False,False,False
BsrDI,10,100,75,25,80,37,high,intermediate,True,False,False,False,False
BsrFI,25,25,0,100,0,37,high,high,False,False,False,False,False
BsrGI,10,100,100,100,80,37,high,high,False,False,False,False,False
BsrI,10,50,100,10,80,65,intermediate,high,False,False,False,False,False
BssHII,100,100,100,100,65,37,high,high,False,False,False,False,False
BssSI,10,25,10,100,0,37,high,high,False,False,False,False,False
BstAPI,50,100,25,100,80,60,intermediate,high,False,False,False,False,False
BstBI,75,100,10,100,0,65,high,high,False,False,False,False,False
BstEII,10,10,10,100,0,37,high,high,False,False,False,False,False
BstNI,10,100,100,75,0,60,low,high,False,False,False,False,False
BstUI,50,100,25,100,0,60,intermediate,high,False,False,False,False,False
BstXI,10,50,100,25,80,37,high,high,True,False,False,False,False
BstYI,25,100,75,100,0,60,high,high,False,False,False,False,False
BstZ17I,100,100,10,100,0,37,high,high,False,False,False,False,False
Bsu36I,25,100,100,100,80,37,intermediate,high,False,False,False,False,False
BtgI,50,100,100,100,80,37,high,high,False,False,False,False,False
BtgZI,10,25,10,100,80,60,intermediate,intermediate,True,False,False,False,False
BtsCI,10,100,25,100,80,50,high,high,False,False,False,False,False
BtsIMutI,100,50,10,100,80,55,intermediate,high,False,False,False,False,False
BtsI,100,100,25,100,0,37,high,high,True,False,False,False,False
Cac8I,50,75,100,100,65,37,intermediate,high,False,False,False,False,False
ClaI,10,50,50,100,65,37,high,high,False,False,False,False,False
CspCI,10,100,10,100,65,37,nan,nan,False,False,False,False,False
CviKI-1,25,100,100,100,0,37,intermediate,high,True,False,False,False,False
CviQI,75,100,100,75,0,25,intermediate,high,False,False,True,False,True
DdeI,75,100,100,100,65,37,high,high,False,False,False,False,False
DpnI,100,100,75,100,80,37,intermediate,high,False,False,False,False,False
DpnII,25,25,100,25,65,37,high,high,False,False,False,True,False
DraI,75,75,50,100,65,37,high,high,False,False,False,False,False
DraIII,10,50,10,100,0,37,intermediate,high,False,False,False,False,False
DrdI,25,50,10,100,65,37,high,high,True,False,False,False,False
EaeI,10,50,10,100,65,37,intermediate,high,False,False,False,False,False
EagI,25,100,100,100,65,37,high,high,False,False,False,False,False
EarI,50,10,10,100,65,37,intermediate,intermediate,False,False,False,False,False
EciI,100,50,50,100,65,37,high,high,True,False,False,False,False
Eco53kI,100,100,10,100,65,37,intermediate,high,True,False,False,False,False
EcoNI,50,100,75,100,65,37,intermediate,high,False,False,False,False,False
EcoO109I,50,100,50,100,65,37,high,high,True,False,False,False,False
EcoP15I,75,100,100,100,65,37,nan,nan,False,False,False,False,False
EcoRI,25,100,50,50,65,37,high,high,False,False,True,False,True
EcoRI,10,100,10,100,65,37,high,high,False,False,False,False,False
EcoRV,10,50,100,10,80,37,high,high,False,False,False,False,False
EcoRV,25,100,100,100,65,37,high,high,False,False,False,False,False
Esp3I,100,100,10,100,65,37,high,high,False,False,False,False,False
FatI,10,100,50,50,80,55,high,high,False,False,False,False,False
FauI,100,50,10,100,65,55,intermediate,intermediate,True,False,False,False,False
Fnu4HI,10,10,10,100,0,37,low,high,False,False,False,False,False
FokI,100,100,75,100,65,37,intermediate,intermediate,True,False,False,False,False
FseI,100,75,10,100,65,37,high,high,False,False,False,False,False
FspI,10,100,10,100,0,37,intermediate,high,False,False,False,False,False
HaeII,25,100,10,100,80,37,high,high,False,False,False,False,False
HaeIII,50,100,25,100,80,37,high,high,False,False,False,False,False
HgaI,100,100,25,100,65,37,high,high,True,False,False,False,True
HhaI,25,100,100,100,65,37,high,high,False,False,False,False,False
HincII,25,100,100,100,65,37,high,high,False,False,False,False,False
HindIII,25,100,50,50,80,37,high,high,False,False,False,False,False
HindIII,10,100,10,100,80,37,high,high,False,False,False,False,False
HinfI,50,100,100,100,80,37,high,high,False,False,False,False,False
HinP1I,100,100,100,100,65,37,high,high,False,False,False,False,False
HpaI,10,75,25,100,0,37,high,high,True,False,True,False,False
HpaII,100,50,10,100,80,37,high,high,False,False,False,False,False
HphI,50,50,10,100,65,37,intermediate,intermediate,True,False,False,False,False
HpyAV,100,100,25,100,65,37,intermediate,intermediate,True,False,False,False,False
HpyCH4III,100,25,10,100,65,37,intermediate,high,False,False,False,False,False
HpyCH4IV,100,50,25,100,65,37,high,high,False,False,False,False,False
HpyCH4V,50,50,25,100,65,37,high,high,False,False,False,False,False
Hpy99I,50,10,10,100,65,37,high,high,False,False,False,False,False
Hpy188I,25,100,50,100,65,37,intermediate,high,True,False,False,False,False
Hpy166II,100,100,50,100,65,37,high,high,False,False,False,False,False
Hpy188III,100,100,10,100,65,37,intermediate,high,True,False,False,False,False
I-CeuI,10,10,10,100,65,37,high,high,False,False,False,False,False
I-SceI,10,50,25,100,65,37,high,high,False,False,False,False,False
KasI,50,100,50,100,65,37,high,high,True,False,False,False,False
KpnI,100,25,10,100,0,37,high,high,False,False,False,False,False
MboI,75,100,100,100,65,37,high,high,False,False,False,False,False
MboII,100,100,50,100,65,37,intermediate,high,False,True,False,False,False
