module_length,success_rate,num_successes,total_combinations,avg_combinations_per_success
7,0.068,68,68,1.0
8,0.107,107,107,1.0
9,0.142,142,142,1.0
10,0.157,157,157,1.0
11,0.2,200,200,1.0
12,0.228,228,228,1.0
13,0.278,278,278,1.0
14,0.314,314,314,1.0
15,0.315,315,315,1.0
16,0.361,361,361,1.0
17,0.383,383,383,1.0
18,0.421,421,421,1.0
19,0.475,475,475,1.0
20,0.495,495,495,1.0
21,0.517,517,517,1.0
22,0.529,529,529,1.0
23,0.552,552,552,1.0
24,0.589,589,589,1.0
25,0.623,623,623,1.0
26,0.638,638,638,1.0
27,0.646,646,646,1.0
28,0.667,667,667,1.0
29,0.686,686,686,1.0
30,0.672,672,672,1.0
31,0.719,719,719,1.0
32,0.767,767,767,1.0
33,0.763,763,763,1.0
34,0.752,752,752,1.0
35,0.763,763,763,1.0
36,0.783,783,783,1.0
37,0.783,783,783,1.0
38,0.801,801,801,1.0
39,0.82,820,820,1.0
40,0.819,819,819,1.0
41,0.826,826,826,1.0
42,0.859,859,859,1.0
43,0.84,840,840,1.0
44,0.871,871,871,1.0
45,0.87,870,870,1.0
46,0.876,876,876,1.0
47,0.869,869,869,1.0
48,0.895,895,895,1.0
49,0.891,891,891,1.0
50,0.895,895,895,1.0
51,0.89,890,890,1.0
52,0.908,908,908,1.0
53,0.907,907,907,1.0
54,0.932,932,932,1.0
55,0.908,908,908,1.0
56,0.924,924,924,1.0
57,0.929,929,929,1.0
58,0.948,948,948,1.0
59,0.935,935,935,1.0
60,0.942,942,942,1.0
