module_length,plasmid,success_rate,n_success,n_total,success_rate_pct
7,pGEX-4T-1,0.128,128,1000,12.8
7,pMAL-c5X,0.106,106,1000,10.6
7,pET-21a(+),0.107,107,1000,10.7
7,pET-28a(+),0.088,88,1000,8.799999999999999
7,pET-28a(+)_start_codon,0.104,104,1000,10.4
7,pCold_I,0.141,141,1000,14.099999999999998
7,pUC18,0.192,192,1000,19.2
7,pQE-3,0.138,138,1000,13.8
8,pGEX-4T-1,0.187,187,1000,18.7
8,pMAL-c5X,0.133,133,1000,13.3
8,pET-21a(+),0.149,149,1000,14.899999999999999
8,pET-28a(+),0.121,121,1000,12.1
8,pET-28a(+)_start_codon,0.141,141,1000,14.099999999999998
8,pCold_I,0.192,192,1000,19.2
8,pUC18,0.232,232,1000,23.200000000000003
8,pQE-3,0.158,158,1000,15.8
9,pGEX-4T-1,0.213,213,1000,21.3
9,pMAL-c5X,0.178,178,1000,17.8
9,pET-21a(+),0.176,176,1000,17.599999999999998
9,pET-28a(+),0.142,142,1000,14.2
9,pET-28a(+)_start_codon,0.187,187,1000,18.7
9,pCold_I,0.25,250,1000,25.0
9,pUC18,0.306,306,1000,30.599999999999998
9,pQE-3,0.201,201,1000,20.1
10,pGEX-4T-1,0.243,243,1000,24.3
10,pMAL-c5X,0.213,213,1000,21.3
10,pET-21a(+),0.219,219,1000,21.9
10,pET-28a(+),0.184,184,1000,18.4
10,pET-28a(+)_start_codon,0.201,201,1000,20.1
10,pCold_I,0.252,252,1000,25.2
10,pUC18,0.338,338,1000,33.800000000000004
10,pQE-3,0.242,242,1000,24.2
11,pGEX-4T-1,0.274,274,1000,27.400000000000002
11,pMAL-c5X,0.257,257,1000,25.7
11,pET-21a(+),0.245,245,1000,24.5
11,pET-28a(+),0.201,201,1000,20.1
11,pET-28a(+)_start_codon,0.272,272,1000,27.200000000000003
11,pCold_I,0.309,309,1000,30.9
11,pUC18,0.407,407,1000,40.699999999999996
11,pQE-3,0.287,287,1000,28.7
12,pGEX-4T-1,0.316,316,1000,31.6
12,pMAL-c5X,0.272,272,1000,27.200000000000003
12,pET-21a(+),0.274,274,1000,27.400000000000002
12,pET-28a(+),0.234,234,1000,23.400000000000002
