module_length,plasmid,successes,tests,success_rate
7,pGEX-4T-1,128,1000,0.128
7,pMAL-c5X,106,1000,0.106
7,pET-21a(+),107,1000,0.107
7,pET-28a(+),88,1000,0.088
7,pET-28a(+)_start_codon,104,1000,0.104
7,pCold_I,141,1000,0.141
7,pUC18,192,1000,0.192
7,pQE-3,138,1000,0.138
8,pGEX-4T-1,187,1000,0.187
8,pMAL-c5X,133,1000,0.133
8,pET-21a(+),149,1000,0.149
8,pET-28a(+),121,1000,0.121
8,pET-28a(+)_start_codon,141,1000,0.141
8,pCold_I,192,1000,0.192
8,pUC18,232,1000,0.232
8,pQE-3,158,1000,0.158
9,pGEX-4T-1,213,1000,0.213
9,pMAL-c5X,178,1000,0.178
9,pET-21a(+),176,1000,0.176
9,pET-28a(+),142,1000,0.142
9,pET-28a(+)_start_codon,187,1000,0.187
9,pCold_I,250,1000,0.25
9,pUC18,306,1000,0.306
9,pQE-3,201,1000,0.201
10,pGEX-4T-1,243,1000,0.243
10,pMAL-c5X,213,1000,0.213
10,pET-21a(+),219,1000,0.219
10,pET-28a(+),184,1000,0.184
10,pET-28a(+)_start_codon,201,1000,0.201
10,pCold_I,252,1000,0.252
10,pUC18,338,1000,0.338
10,pQE-3,242,1000,0.242
11,pGEX-4T-1,274,1000,0.274
11,pMAL-c5X,257,1000,0.257
11,pET-21a(+),245,1000,0.245
11,pET-28a(+),201,1000,0.201
11,pET-28a(+)_start_codon,272,1000,0.272
11,pCold_I,309,1000,0.309
11,pUC18,407,1000,0.407
11,pQE-3,287,1000,0.287
12,pGEX-4T-1,316,1000,0.316
12,pMAL-c5X,272,1000,0.272
12,pET-21a(+),274,1000,0.274
12,pET-28a(+),234,1000,0.234
12,pET-28a(+)_start_codon,292,1000,0.292
12,pCold_I,354,1000,0.354
12,pUC18,400,1000,0.4
12,pQE-3,324,1000,0.324
13,pGEX-4T-1,358,1000,0.358
13,pMAL-c5X,327,1000,0.327
13,pET-21a(+),336,1000,0.336
13,pET-28a(+),272,1000,0.272
13,pET-28a(+)_start_codon,313,1000,0.313
13,pCold_I,397,1000,0.397
13,pUC18,485,1000,0.485
13,pQE-3,340,1000,0.34
14,pGEX-4T-1,429,1000,0.429
14,pMAL-c5X,339,1000,0.339
14,pET-21a(+),340,1000,0.34
14,pET-28a(+),302,1000,0.302
14,pET-28a(+)_start_codon,363,1000,0.363
14,pCold_I,426,1000,0.426
14,pUC18,494,1000,0.494
14,pQE-3,389,1000,0.389
15,pGEX-4T-1,428,1000,0.428
15,pMAL-c5X,357,1000,0.357
15,pET-21a(+),370,1000,0.37
15,pET-28a(+),340,1000,0.34
15,pET-28a(+)_start_codon,401,1000,0.401
15,pCold_I,479,1000,0.479
15,pUC18,535,1000,0.535
15,pQE-3,421,1000,0.421
16,pGEX-4T-1,470,1000,0.47
16,pMAL-c5X,418,1000,0.418
16,pET-21a(+),445,1000,0.445
16,pET-28a(+),406,1000,0.406
16,pET-28a(+)_start_codon,407,1000,0.407
16,pCold_I,531,1000,0.531
16,pUC18,529,1000,0.529
16,pQE-3,440,1000,0.44
17,pGEX-4T-1,520,1000,0.52
17,pMAL-c5X,483,1000,0.483
17,pET-21a(+),451,1000,0.451
17,pET-28a(+),358,1000,0.358
17,pET-28a(+)_start_codon,465,1000,0.465
17,pCold_I,560,1000,0.56
17,pUC18,605,1000,0.605
17,pQE-3,483,1000,0.483
18,pGEX-4T-1,549,1000,0.549
18,pMAL-c5X,485,1000,0.485
18,pET-21a(+),495,1000,0.495
18,pET-28a(+),427,1000,0.427
18,pET-28a(+)_start_codon,502,1000,0.502
18,pCold_I,604,1000,0.604
18,pUC18,638,1000,0.638
18,pQE-3,509,1000,0.509
19,pGEX-4T-1,593,1000,0.593
19,pMAL-c5X,519,1000,0.519
19,pET-21a(+),548,1000,0.548
19,pET-28a(+),447,1000,0.447
19,pET-28a(+)_start_codon,516,1000,0.516
19,pCold_I,611,1000,0.611
19,pUC18,653,1000,0.653
19,pQE-3,571,1000,0.571
20,pGEX-4T-1,613,1000,0.613
20,pMAL-c5X,544,1000,0.544
20,pET-21a(+),561,1000,0.561
20,pET-28a(+),455,1000,0.455
20,pET-28a(+)_start_codon,528,1000,0.528
20,pCold_I,640,1000,0.64
20,pUC18,692,1000,0.692
20,pQE-3,592,1000,0.592
21,pGEX-4T-1,634,1000,0.634
21,pMAL-c5X,561,1000,0.561
21,pET-21a(+),557,1000,0.557
21,pET-28a(+),478,1000,0.478
21,pET-28a(+)_start_codon,577,1000,0.577
21,pCold_I,688,1000,0.688
21,pUC18,732,1000,0.732
