,BbsI,BcoDI,BpuEI,BsaI,BseRI,BsgI,BsmAI,BsmBI,BsmI,BspCNI,BspMI,BsrI,BtsCI,BtsIMutI,EarI,Esp3I,NmeAIII,SapI
AflII,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
AgeI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
ApaLI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
AscI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
AvrII,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
BclI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
BglII,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
BseYI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
BsiWI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
BspEI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
BspHI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
BsrGI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
BssHII,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
EcoRI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
HhaI,False,False,True,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False
HindIII,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
MboI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
MluI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
NcoI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
NheI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
NotI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
PacI,False,False,True,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False
PciI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
PspOMI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
PvuI,False,False,True,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False
SacII,False,False,True,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False
SalI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
SpeI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
XbaI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
XhoI,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
