enzyme,r1.1,r2.1,r3.1,rCutSmart,heat_inac,incu_temp,notes
AatII,<10,50*,50,100,80°C,37°C,
AccI,50,50,10,100,80°C,37°C,
Acc65I,10,75*,100,25,65°C,37°C,
AciI,<10,25,100,100,65°C,37°C,
AclI,<10,<10,<10,100,No,37°C,
AcuI,50,100,50,100,65°C,37°C,"1, b, d"
AfeI,25,100,25,100,65°C,37°C,
AflII,50,100,10,100,65°C,37°C,
AflIII,10,50,100,50,80°C,37°C,
AgeI,100,50,10,100,65°C,37°C,
AhdI,25,25,10,100,65°C,37°C,a
AleI,<10,<10,<10,100,65°C,37°C,
AluI,25,100,50,100,80°C,37°C,b
AlwI,50,50,10,100,No,37°C,"1, b, d"
AlwNI,10,100,50,100,80°C,37°C,
ApaI,25,25,<10,100,65°C,37°C,
ApaLI,100,100,10,100,No,37°C,
ApeKI,25,50,100,10,No,75°C,
ApoI,10,100,10,100,80°C,37°C,
AscI,<10,10,10,100,80°C,37°C,
AseI,<10,50*,100,10,65°C,37°C,3
AsiSI,100,100,25,100,80°C,37°C,"2, b"
AvaI,<10,100,25,100,80°C,37°C,
AvaII,50,75,10,100,80°C,37°C,
AvrII,100,50,50,100,No,37°C,
BaeGI,75,75,100,25,80°C,37°C,
BaeI,50,100,50,100,65°C,37°C,e
BamHI,75*,100*,100,100*,No,37°C,3
BamHI,100,50,10,100,No,37°C,
BanI,10,25,<10,100,65°C,37°C,1
BanII,100,100,50,100,80°C,37°C,2
BbsI,100,100,25,75,65°C,37°C,
BbsI,10,10,10,100,65°C,37°C,
BbvCI,10,100,50,100,No,37°C,"1, a"
BbvI,100,100,25,100,65°C,37°C,3
BccI,100,50,10,100,65°C,37°C,"3, b"
BceAI,100*,100*,100,100*,65°C,37°C,1
BcgI,10,75*,100,50*,65°C,37°C,e
BciVI,100,25,<10,100,80°C,37°C,b
BclI,50,100,100,75,No,37°C,
BclI,100,100,10,100,65°C,37°C,
BcoDI,50,75,75,100,No,37°C,
BfaI,<10,10,<10,100,80°C,37°C,"2, b"
BfuAI,<10,25,100,10,65°C,50°C,3
BglI,10,25,100,10,65°C,37°C,
