re1,re2,orthogonality
EcoRI,EcoRI,0
EcoRI,BauI,1
EcoRI,TaiI,4
EcoRI,AatII,4
EcoRI,HindIII,1
EcoRI,SacI,4
EcoRI,PvuI,4
EcoRI,BstKTI,4
EcoRI,RgaI,4
EcoRI,PacI,4
EcoRI,PciI,1
EcoRI,NcoI,1
EcoRI,BspHI,1
EcoRI,NlaIII,4
EcoRI,SphI,4
EcoRI,BseYI,1
EcoRI,GsaI,4
EcoRI,AgeI,1
EcoRI,XmaI,1
EcoRI,MreI,1
EcoRI,KroI,1
EcoRI,BspEI,1
EcoRI,FseI,4
EcoRI,AclI,4
EcoRI,HpySE526I,4
EcoRI,BspDI,4
EcoRI,AciI,4
EcoRI,HpaII,4
EcoRI,Hin6I,4
EcoRI,NarI,4
EcoRI,TaqI,4
EcoRI,BstBI,4
EcoRI,HhaI,4
EcoRI,MluI,1
EcoRI,MauBI,1
EcoRI,BssHII,1
EcoRI,AscI,1
EcoRI,SpeI,1
EcoRI,AvrII,1
EcoRI,NheI,1
EcoRI,XbaI,1
EcoRI,BspOI,4
EcoRI,BglII,1
EcoRI,BamHI,1
EcoRI,BclI,1
EcoRI,SacII,4
EcoRI,SspDI,1
EcoRI,BseX3I,1
EcoRI,NotI,1
EcoRI,PspOMI,1
EcoRI,ApaI,4
EcoRI,BsiWI,1
EcoRI,Asp718I,1
EcoRI,BsrGI,1
EcoRI,KpnI,4
EcoRI,PshBI,4
EcoRI,NdeI,4
EcoRI,BfaI,4
EcoRI,Csp6I,4
EcoRI,MseI,4
EcoRI,BbvCI,4
EcoRI,AbsI,1
EcoRI,SgrDI,1
EcoRI,XhoI,1
EcoRI,SalI,1
EcoRI,ApaLI,1
EcoRI,EcoT22I,4
EcoRI,SdaI,4
EcoRI,PstI,4
EcoRI,AflII,1
BauI,EcoRI,1
BauI,BauI,0
BauI,TaiI,4
BauI,AatII,4
BauI,HindIII,1
BauI,SacI,4
BauI,PvuI,4
BauI,BstKTI,4
BauI,RgaI,4
BauI,PacI,4
BauI,PciI,1
BauI,NcoI,1
BauI,BspHI,1
BauI,NlaIII,4
BauI,SphI,4
BauI,BseYI,3
BauI,GsaI,4
BauI,AgeI,1
BauI,XmaI,1
BauI,MreI,1
BauI,KroI,1
BauI,BspEI,1
BauI,FseI,4
BauI,AclI,4
BauI,HpySE526I,4
BauI,BspDI,4
BauI,AciI,4
BauI,HpaII,4
BauI,Hin6I,4
BauI,NarI,4
BauI,TaqI,4
BauI,BstBI,4
BauI,HhaI,4
BauI,MluI,1
BauI,MauBI,1
BauI,BssHII,1
BauI,AscI,1
BauI,SpeI,1
BauI,AvrII,1
BauI,NheI,1
BauI,XbaI,1
BauI,BspOI,4
BauI,BglII,1
BauI,BamHI,1
BauI,BclI,1
BauI,SacII,4
BauI,SspDI,1
BauI,BseX3I,1
BauI,NotI,1
BauI,PspOMI,1
BauI,ApaI,4
BauI,BsiWI,1
BauI,Asp718I,1
BauI,BsrGI,1
BauI,KpnI,4
BauI,PshBI,4
BauI,NdeI,4
BauI,BfaI,4
BauI,Csp6I,4
BauI,MseI,4
BauI,BbvCI,4
BauI,AbsI,1
BauI,SgrDI,1
BauI,XhoI,1
BauI,SalI,1
BauI,ApaLI,1
BauI,EcoT22I,4
BauI,SdaI,4
BauI,PstI,4
BauI,AflII,1
TaiI,EcoRI,4
TaiI,BauI,4
TaiI,TaiI,0
TaiI,AatII,0
TaiI,HindIII,4
TaiI,SacI,1
TaiI,PvuI,4
TaiI,BstKTI,4
TaiI,RgaI,4
TaiI,PacI,4
TaiI,PciI,4
TaiI,NcoI,4
TaiI,BspHI,4
TaiI,NlaIII,1
TaiI,SphI,1
TaiI,BseYI,4
TaiI,GsaI,1
TaiI,AgeI,4
TaiI,XmaI,4
TaiI,MreI,4
TaiI,KroI,4
TaiI,BspEI,4
TaiI,FseI,1
