,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
EcoRV,False,True,False,False,False,False,True,True
HindII,False,False,False,False,False,False,True,True
Cfr42I,True,True,True,True,True,True,True,True
AanI,True,False,False,False,False,False,True,False
AquIII,True,True,True,True,True,True,True,True
Bse1I,False,False,False,False,False,False,False,False
BstH2I,False,False,False,False,False,False,False,False
CfoI,False,False,False,False,False,False,False,False
Hsp92II,False,False,False,False,False,False,False,False
PacI,True,True,True,True,True,True,True,True
PvuI,False,False,False,False,False,False,False,False
SdaI,True,True,True,True,True,True,True,True
SgrBI,True,True,True,True,True,True,True,True
TaiI,False,False,False,False,False,False,False,False
HgiCI,False,False,False,False,False,False,False,False
Psp6I,False,False,False,False,False,False,False,False
Asp103I,True,False,False,False,False,True,True,True
TaqIII,False,False,False,False,False,False,False,False
BstZI,True,True,True,True,True,True,True,True
Bsp24I,False,False,False,False,False,False,False,False
HauII,False,False,True,True,True,True,True,False
BlnI,True,True,True,True,True,True,True,True
ApaI,False,False,False,False,False,False,True,True
Bst1107I,True,True,False,False,False,True,True,False
AvrII,True,True,True,True,True,True,True,True
AbaB8342IV,False,False,False,False,False,False,False,True
AspDUT2V,False,False,False,False,False,False,False,False
BmgI,False,False,False,False,False,False,True,False
UbaF13I,True,True,False,False,False,True,True,False
TspEI,False,False,False,False,False,False,False,False
AarI,True,True,True,True,True,True,True,True
BfoI,False,False,False,False,False,False,False,False
BlsI,False,False,False,False,False,False,False,False
Bsp460III,False,False,False,False,False,False,False,False
CdiI,False,False,False,False,False,False,False,False
AhaIII,False,False,False,True,True,False,False,False
AcsI,False,False,False,False,False,False,True,False
AjnI,False,False,False,False,False,False,False,False
HdeNY26I,False,False,False,False,False,False,False,True
EcoBLMcrX,False,False,False,False,False,False,False,False
PspXI,True,True,True,True,True,True,True,True
HpyAV,False,False,False,False,False,False,False,False
EclXI,True,True,True,True,True,True,True,True
FspBI,False,False,False,False,False,False,False,False
